100 922
0 3 5
0 4 6
0 11 2
0 12 9
0 21 10
0 30 2
0 45 7
0 59 7
0 60 10
0 66 7
0 73 8
0 75 1
0 76 7
0 90 1
0 96 10
0 97 6
1 14 10
1 22 2
1 27 2
1 28 1
1 43 3
1 49 10
1 57 10
1 58 8
1 63 1
1 67 2
1 73 5
1 80 7
1 86 6
2 4 5
2 16 8
2 34 2
2 51 3
2 52 4
2 58 1
2 66 7
2 67 9
2 81 7
2 91 3
2 92 6
2 96 6
3 8 9
3 9 7
3 11 3
3 14 9
3 27 6
3 31 4
3 39 8
3 40 8
3 47 6
3 53 3
3 58 3
3 81 7
3 85 3
3 86 6
3 87 1
3 94 4
3 95 2
3 98 10
4 9 7
4 23 4
4 31 9
4 34 2
4 36 6
4 40 4
4 44 3
4 60 10
4 63 9
4 65 6
4 84 3
4 98 9
5 7 10
5 8 10
5 22 5
5 37 7
5 43 10
5 44 3
5 53 10
5 58 1
5 59 3
5 60 2
5 69 10
5 72 2
5 73 9
5 75 1
5 85 1
5 99 8
6 14 3
6 15 6
6 24 10
6 29 7
6 36 10
6 47 7
6 52 1
6 58 7
6 62 5
6 66 10
6 73 5
6 74 3
6 76 10
6 84 6
6 90 9
6 94 2
6 95 5
6 96 5
6 98 6
7 8 9
7 18 8
7 28 4
7 30 9
7 36 2
7 48 4
7 50 8
7 62 3
7 68 7
7 70 10
7 77 9
7 78 7
7 83 5
7 92 9
7 95 2
7 96 7
8 11 4
8 14 8
8 24 10
8 26 7
8 27 6
8 33 7
8 50 10
8 54 7
8 55 2
8 85 1
8 87 7
8 88 4
8 99 3
9 12 10
9 13 3
9 16 10
9 23 4
9 24 5
9 33 5
9 34 3
9 35 1
9 38 6
9 39 6
9 43 8
9 49 7
9 50 1
9 52 7
9 56 8
9 60 9
9 67 5
9 77 7
9 87 5
9 89 6
9 97 9
9 98 8
10 12 6
10 19 7
10 26 10
10 28 4
10 29 10
10 31 1
10 33 6
10 40 8
10 41 1
10 45 8
10 47 8
10 54 4
10 58 2
10 68 4
10 70 4
10 73 3
10 75 3
10 84 10
10 85 8
10 93 7
10 94 6
11 19 4
11 22 3
11 24 4
11 33 8
11 40 6
11 41 5
11 45 10
11 46 7
11 48 6
11 57 7
11 58 10
11 59 4
11 66 10
11 71 10
11 83 7
12 14 5
12 16 8
12 26 9
12 38 9
12 43 6
12 50 5
